gene_symbol,liver_tpm
TM4SF5,123.196
IGHA1,123.144
CHCHD10,123.09
MTND4P20,122.954
SCP2,122.562
YBX1,122.285
DDT,121.734
TXN,121.48
C5,121.076
LMAN2,120.786
QPRT,120.679
PON3,120.63
HABP2,120.611
HSD17B4,119.847
MASP2,119.574
AES,119.262
SERF2,119.224
H1F0,119.215
HSPA1A,119.114
HAO2,118.924
KHK,118.059
SLPI,117.875
MYL6,117.813
LCAT,117.327
MYDGF,115.929
RPS24,115.799
GADD45G,115.758
CEBPD,115.729
RRBP1,115.207
CCNL2,115.191
PC,115.011
PLIN2,114.947
PSME1,114.76
EIF4A1,114.756
HNRNPK,114.466
ADI1,113.921
HSPA9,113.721
APOC1P1,113.253
APLP2,113.135
CD74,112.796
ELOB,112.664
IGKJ2,112.422
PPIA,112.357
MT1M,112.015
PEMT,111.89
UQCRC1,111.858
FCGRT,111.594
TMEM205,111.342
MRPL12,111.27
UGT2B10,110.925
COX7C,110.909
GCGR,110.889
PARK7,110.767
HSD3B7,110.553
SDHA,110.308
UBC,110.168
TMA7,110.036
AQP9,109.983
CFHR3,109.597
PSMB3,109.586
SRPRA,109.438
ZFP36L1,109.423
AADAC,109.421
CST3,109.405
MCL1,108.978
MRFAP1,108.864
TOB1,108.579
NEAT1,108.517
ETS2,108.116
CIB1,108.011
CD63,108.0
ATP5J,107.922
GLTSCR2,107.455
SEC61B,107.369
NAMPT,107.264
RPL18A,107.131
JUND,107.097
SLC39A5,106.995
RPL35A,106.949
NDUFV1,106.892
CYB5R3,106.845
KRT8,106.818
CRYL1,106.678
SIGMAR1,106.613
SDF4,106.336
RPL23,106.301
YWHAE,106.211
SRSF5,105.997
MORF4L2,105.834
GRHPR,105.803
PCBP1,105.749
DDX17,105.436
TUBB,105.387
IGFBP7,104.924
FH,104.515
MDH2,104.482
SERPINA10,104.088
SERPINA5,103.949
TXNDC5,103.603
BHLHE40,103.236
TMEM259,102.977
MSRB1,102.532
PSME2,102.515
RPL30,102.474
PHYH,102.395
DAD1,102.393
SCARB1,102.083
FNDC4,101.935
C8orf4,101.861
CANX,101.646
COX4I1,101.571
RPS3,101.314
NFKBIA,100.576
HIGD2A,100.408
IDH1,100.373
FBXW5,100.084
ERP29,99.9745
MTHFS,99.8524
MAOB,99.7081
CERS2,99.5123
NDUFV2,99.0883
CHI3L1,98.988
NR1I3,98.7381
CSNK2B,98.6459
ABAT,98.4115
CYP4F2,98.2635
DECR1,98.1549
C2orf72,98.1304
ECI2,98.0936
CYR61,97.9824
H3F3B,97.5267
DDIT4,97.1557
FKBP8,97.084
ACADSB,97.0343
GCKR,97.0148
EBP,96.7254
RABAC1,96.5934
SLC17A9,96.5312
EI24,96.442
ATP5C1,96.4332
SRSF2,96.28
BCL3,96.2247
GSTK1,96.2032
MRPL41,96.1943
HADHA,96.1255
GANAB,95.7691
MLF2,95.6123
SLC2A4RG,94.9545
NDRG2,94.798
NDUFB10,94.6416
RPL15,94.5948
DGAT2,94.4678
RHOA,94.4526
POLR2L,94.4485
HYAL1,94.4285
SF3B5,94.3177
SLC10A1,94.2899
SLC38A2,94.2213
DAP,94.2027
DECR2,94.1697
ATP6V0C,94.0835
LEAP2,93.8656
S100A9,93.8486
IL32,93.7414
APRT,93.2957
SREBF1,93.2654
CES2,93.0576
NAPRT,92.8506
PBLD,92.7362
MGAT4B,92.5328
SLCO2B1,92.4977
PABPC1,92.2872
TMED2,92.131
PRODH2,91.8438
LDHD,91.715
EHHADH,91.6163
POLD4,91.5292
RAB1A,91.4915
TMEM123,91.4511
ALDH8A1,91.1686
GOLT1A,91.1555
USMG5,91.0037
ETFA,90.8571
RAB7A,90.7478
CLDN1,90.5158
SELENOO,90.3014
SLC25A10,90.1833
HDGF,89.7481
NDUFB8,89.6958
ORMDL3,89.6774
SLC7A2,89.5
BLVRB,89.3618
BSG,89.0681
ACOX2,88.942
PABPN1,88.7936
GLYAT,88.762
NIPSNAP1,88.5815
EIF4G1,88.5721
ISOC2,88.5498
WBP2,88.5372
MARC2,88.4079
LTBR,88.2118
SRP9,87.9
ATP5O,87.6943
IGKJ4,87.6877
CLUH,87.5025
AHCY,87.4358
C1RL,87.3635
SLC27A2,87.184
PNRC1,87.1824
OST4,87.1697
PPP1R3C,86.9608
HAL,86.9082
SUCLG2,86.8388
TM4SF4,86.8302
EIF4H,86.8133
EPHX2,86.5446
RPL37A,86.5181
RPS19BP1,86.4311
PPIF,86.35
LGALS1,86.2521
RASD1,86.2395
ALDH1L1,85.9368
CISD3,85.9307
NOP10,85.555
PSMB6,85.4918
ARL6IP1,85.373
SOD2,85.3207
NRBP2,85.0145
RPL36A,84.8902
FAM99A,84.8692
DUSP23,84.5937
DEFB1,84.3669
STAT3,84.354
CDHR5,84.3209
ECHDC3,84.2473
FLOT2,83.9467
FUOM,83.8794
