distribution,loo_influence
background,0.002959715865273387
background,0.004581976026992638
background,0.0228844813747809
background,0.006949363560952071
background,0.005880396786321247
background,0.014627704680477959
background,0.00888032078524574
background,0.00839548423070432
background,0.006341877495004038
background,0.00603539231071379
background,0.01604624794202935
background,0.006199606839300055
background,0.012695059312797255
background,0.0059095950985537235
background,0.02884781315432409
background,0.014563087986724704
background,0.01380077469490733
background,0.025198662325725034
background,0.021079846682938306
background,0.00852469222054087
background,0.006299855944467766
background,0.006783312317150601
background,0.022381226773500056
background,0.033140842171086725
background,0.016517112269182874
background,0.006999120174114578
background,0.013008170061823688
background,0.01679110199209641
background,0.007342347038400062
background,0.0054423546380260625
background,0.010876313767320032
background,0.008117638485802789
background,0.016094847519940406
background,0.00836166711201002
background,0.020157070117418175
background,0.00859969450860752
background,0.013910529633850914
background,0.0090154615091972
background,0.006579439720467891
background,0.018591527600567283
background,0.007517042436469741
background,0.011171865543020285
background,0.0179862314264175
background,0.027609543599331605
background,0.00926857334681049
background,0.01367108594039174
background,0.004361885424688376
background,0.023377660961945067
background,0.01753760968083203
background,0.012186800738595517
background,0.010541271575426042
background,0.006447352005328296
background,0.026001345020833837
background,0.01146905646794176
background,0.018580044473442258
background,0.007936158119333871
background,0.02515469595525695
background,0.006775380563358016
background,0.02557352878717966
background,0.01448469079506466
background,0.014773700722108055
background,0.02132327056079685
background,0.01090680480744799
background,0.017171005889038513
background,0.006051398507010444
background,0.008001634631842993
background,0.01286399269828407
background,0.016804386042582994
background,0.016390070069787002
background,0.007699071329189995
background,0.010454140821049205
background,0.009267056390542403
background,0.007397372057407295
background,0.005320148341543541
background,0.01915015909071437
background,0.017211085050207582
background,0.0067044089299747025
background,0.00929631453419086
background,0.0297009100438445
background,0.016643599273005072
background,0.008327629163729004
background,0.023638702833716652
background,0.014382556215009633
background,0.010539837332223068
background,0.015925474657403335
background,0.019414113537279266
background,0.006876806648298871
background,0.014350634555417538
background,0.012679232562108676
background,0.01262503052463534
background,0.00920943155224565
background,0.011501529060045935
background,0.011414643924611804
background,0.024808060448435785
background,0.009785083491157457
background,0.008002113023033776
background,0.035047944248919986
background,0.008027564559696582
background,0.010699303409995567
background,0.019753239091700858
background,0.012712167079104397
background,0.010119930629079602
background,0.006205897674717974
background,0.007058890960466865
background,0.01591762647630784
background,0.03274577968509144
background,0.012260795157217907
background,0.005803946240335757
background,0.00813935861563863
background,0.011544456281714969
background,0.013397828169739164
background,0.012003179536840188
background,0.009817198278098684
background,0.018199826515745334
background,0.011231783644782938
background,0.005256238554710338
background,0.012769215091063553
background,0.0053000465506825925
background,0.007207859796293223
background,0.0064909187017587995
background,0.02311925371563025
background,0.010179816846898473
background,0.01638446266577447
background,0.012184944061670493
